Team,OVR Rating,OFF Rating,DEF Rating
"Northwestern (Mendon) with Brunswick, Keytesville",-0.46,1.27,-1.73
Hillcrest,-0.54,-0.75,0.21
Wellington-Napoleon,-0.60,0.83,-1.43
Sacred Heart,-0.67,-1.09,0.42
Marceline,-0.70,0.37,-1.06
Hallsville,-0.71,-0.34,-0.38
Dixon,-0.73,0.36,-1.09
Bakersfield,-0.77,-0.25,-0.52
Lawson,-0.79,0.24,-1.03
Conway,-0.91,-0.52,-0.39
King City with Union Star,-1.03,-0.66,-0.36
North Shelby,-1.07,-1.37,0.30
Van Buren,-1.13,-0.14,-0.98
Vienna,-1.29,-0.25,-1.05
Mansfield,-1.37,-1.26,-0.11
St. Vincent,-1.37,-0.90,-0.46
East Newton,-1.52,-0.67,-0.85
Central (Park Hills),-1.55,-1.31,-0.24
Sherwood,-1.55,-0.51,-1.05
Skyline,-1.56,-1.60,0.04
Bayless,-1.57,-0.92,-0.65
Miller,-1.60,-1.68,0.08
Cassville,-1.68,0.01,-1.70
William Chrisman,-1.72,-1.19,-0.53
Perryville,-1.76,-1.83,0.07
Adrian,-1.80,-0.08,-1.72
Norwood,-1.83,-1.63,-0.20
Oran,-1.90,-1.16,-0.73
Meadow Heights,-1.93,-1.68,-0.25
Fayette,-2.02,-1.10,-0.92
Cole Camp,-2.07,-1.51,-0.56
Lincoln,-2.16,-1.11,-1.06
Holcomb,-2.28,-2.18,-0.10
New Covenant Academy,-2.30,-0.50,-1.80
Cooter,-2.45,-2.33,-0.12
Brentwood,-2.46,-0.09,-2.38
Bell City,-2.48,-2.06,-0.42
Cuba,-2.64,-1.90,-0.74
Doniphan,-2.65,-0.60,-2.05
Mountain Grove,-2.66,-1.53,-1.13
Pilot Grove,-2.66,-2.78,0.12
Center,-2.74,-1.87,-0.86
Thayer,-2.79,-0.82,-1.96
Puxico,-2.83,-1.83,-0.99
Osage,-2.94,-1.43,-1.51
Barstow,-2.96,-2.15,-0.81
Belton,-3.03,-1.27,-1.76
California,-3.07,-0.94,-2.13
North Kansas City,-3.15,-1.01,-2.13
East Buchanan,-3.19,-0.89,-2.30
Gallatin,-3.20,-2.86,-0.34
Westran,-3.30,-1.29,-2.01
Trenton,-3.47,-0.76,-2.71
New Franklin,-3.53,-2.07,-1.47
Naylor,-3.57,-1.12,-2.45
Clopton,-3.58,0.01,-3.59
Sturgeon,-3.59,-1.16,-2.43
Cameron,-3.68,-2.28,-1.39
Principia with Whitfield,-3.68,-1.34,-2.34
South Holt,-3.69,-1.26,-2.42
Hazelwood West,-3.74,0.54,-4.28
Marion C. Early,-3.79,-1.70,-2.09
Gilman City with North Daviess,-3.84,-0.96,-2.87
Spokane,-3.95,-2.91,-1.03
Lathrop,-4.03,-2.07,-1.96
